gameName, platform, devName, country
Bee Movie Game,  PS2,  Beenox,  Canada
Bee Movie Game,  X360,  Beenox,  Canada
Monsters vs. Aliens,  PC,  Beenox,  Canada
Monsters vs. Aliens,  PS2,  Beenox,  Canada
Monsters vs. Aliens,  PS3,  Beenox,  Canada
Monsters vs. Aliens,  Wii,  Beenox,  Canada
Monsters vs. Aliens,  X360,  Beenox,  Canada
Spider-Man 3,  PC,  Beenox,  Canada
Spider-Man: Edge of Time,  3DS,  Beenox,  Canada
Spider-Man: Edge of Time,  PS3,  Beenox,  Canada
Spider-Man: Edge of Time,  Wii,  Beenox,  Canada
Spider-Man: Edge of Time,  X360,  Beenox,  Canada
Spider-Man: Friend or Foe,  PC,  Beenox,  Canada
Disney's Planes,  Wii,  Behaviour Interactive,  Canada
Disney's Planes,  WiiU,  Behaviour Interactive,  Canada
MySims SkyHeroes,  X360,  Behaviour Interactive,  Canada
Rango: The Video Game,  PS3,  Behaviour Interactive,  Canada
Rango: The Video Game,  Wii,  Behaviour Interactive,  Canada
Rango: The Video Game,  X360,  Behaviour Interactive,  Canada
Need For Speed: Undercover,  PC,  EA Black Box,  Canada
Need for Speed: ProStreet,  PS3,  EA Black Box,  Canada
Need for Speed: ProStreet,  X360,  EA Black Box,  Canada
Captain America: Super Soldier,  PS3,  Next Level Games,  Canada
Captain America: Super Soldier,  X360,  Next Level Games,  Canada
Spider-Man: Friend or Foe,  PS2,  Next Level Games,  Canada
Spider-Man: Friend or Foe,  Wii,  Next Level Games,  Canada
Spider-Man: Friend or Foe,  X360,  Next Level Games,  Canada
Tom Clancy's Ghost Recon,  Wii,  Next Level Games,  Canada
Transformers: Cybertron Adventures,  Wii,  Next Level Games,  Canada
EA Playground,  DS,  Piranha Games,  Canada
Need For Speed: Undercover,  PSP,  Piranha Games,  Canada
Crash: Mind Over Mutant,  PS2,  Radical Entertainment,  Canada
Crash: Mind Over Mutant,  Wii,  Radical Entertainment,  Canada
Crash: Mind Over Mutant,  X360,  Radical Entertainment,  Canada
James Cameron's Dark Angel,  PS2,  Radical Entertainment,  Canada
James Cameron's Dark Angel,  XB,  Radical Entertainment,  Canada
Monsters Inc. Scream Arena,  GC,  Radical Entertainment,  Canada,
Prototype: Biohazard Bundle,  PS4,  Radical Entertainment,  Canada
Prototype: Biohazard Bundle,  XOne,  Radical Entertainment,  Canada
Scarface: Money. Power. Respect.,  PSP,  Radical Entertainment,  Canada
Tetris Worlds,  GC,  Radical Entertainment,  Canada
The Simpsons: Road Rage,  GC,  Radical Entertainment,  Canada
X-Men: Destiny,  DS,  Silicon Knights,  Canada
X-Men: Destiny,  PS3,  Silicon Knights,  Canada
X-Men: Destiny,  Wii,  Silicon Knights,  Canada
